"T12,Gross domestic product and gross domestic product per capita,,,"
"Region/Country/Area,,Year,population,Value"
"5,South America,2005,35850.0576,4481.2572"
"5,South America,2010,78400.8152,9800.1019"
"5,South America,2015,72766.7152,9095.8394"
"5,South America,2017,76099.9752,9512.4969"
"5,South America,2018,69965.2016,8745.6502"
"5,South America,1985,12943639.17,1617954.896"
"5,South America,1995,17235784.91,2154473.114"
"5,South America,2005,21911732.31,2738966.539"
"5,South America,2010,27338548.55,3417318.569"
"5,South America,2015,29987079.57,3748384.946"
"5,South America,2017,29175201.51,3646900.189"
"5,South America,2018,29109975.95,3638746.994"
"5,South America,1985,24.7096,3.0887"
"5,South America,1995,25.8832,3.2354"
"5,South America,2005,42.8592,5.3574"
"5,South America,2010,52.876,6.6095"
"5,South America,2015,-10.3696,-1.2962"
"5,South America,2017,2.1984,0.2748"
"5,South America,2018,-1.7888,-0.2236"
"142,Asia,1985,23162184.46,2895273.058"
"142,Asia,1995,73787286.93,9223410.866"
"142,Asia,2005,99124867.76,12390608.47"
"142,Asia,2010,167661143.5,20957642.94"
"142,Asia,2015,213274212.4,26659276.55"
"142,Asia,2017,236654845.8,29581855.73"
"142,Asia,2018,254719036.4,31839879.55"
"142,Asia,1985,8103.9496,1012.9937"
"142,Asia,1995,21125.304,2640.663"
"142,Asia,2005,24920.9248,3115.1156"
"142,Asia,2010,39832.2048,4979.0256"
"142,Asia,2015,48110.2136,6013.7767"
"142,Asia,2017,52373.6536,6546.7067"
"142,Asia,2018,55856.8704,6982.1088"
"142,Asia,1985,47086884.48,5885860.56"
"142,Asia,1995,79746299.42,9968287.428"
"142,Asia,2005,124903400.5,15612925.06"
"142,Asia,2010,165616234.2,20702029.27"
"142,Asia,2015,213274212.4,26659276.55"
"142,Asia,2017,234968738.4,29371092.3"
"142,Asia,2018,245646799.4,30705849.93"
"142,Asia,1985,38.0112,4.7514"
"142,Asia,1995,44.728,5.591"
"142,Asia,2005,50.4576,6.3072"
"142,Asia,2010,61.2416,7.6552"
"142,Asia,2015,38.2912,4.7864"
"142,Asia,2017,40.1088,5.0136"
"142,Asia,2018,36.356,4.5445"
"143,Central Asia,1995,333110.3192,41638.7899"
"143,Central Asia,2005,745300.5624,93162.5703"
"143,Central Asia,2010,1823808.755,227976.0944"
"143,Central Asia,2015,2534561.4,316820.175"
"143,Central Asia,2017,2229933.454,278741.6818"
"143,Central Asia,2018,2289639.419,286204.9274"
"143,Central Asia,1995,6265.1072,783.1384"
"143,Central Asia,2005,12751.0984,1593.8873"
"143,Central Asia,2010,29039.188,3629.8985"
"143,Central Asia,2015,37011.6976,4626.4622"
"143,Central Asia,2017,31466.248,3933.281"
"143,Central Asia,2018,31777.7608,3972.2201"
"143,Central Asia,1995,764244.9616,95530.6202"
"143,Central Asia,2005,1335160.522,166895.0652"
"143,Central Asia,2010,1878280.757,234785.0946"
"143,Central Asia,2015,2534561.4,316820.175"
"143,Central Asia,2017,2733979.938,341747.4922"
"143,Central Asia,2018,2861997.058,357749.6323"
